Item,Qty,Reference(s),Value,manf#
1,1,AE1,Antenna_Shield,977325
2,4,"C1, C2, C4, C5",10uf,8.85E+11
3,5,"C3, C6, C7, C9,C15",0.1uf,08056C104JAZ2A
4,3,"C8, C10, C11",1uf,CC0805KKX5R5BB105
5,2,"C12, C14",10uF,8.85E+11
6,1,C13,1uF,CC0805KKX5R5BB105
7,1,D1,D_Schottky,NRVB120VLSFT1G
8,1,D2,CHARGE,150080VS75000
9,1,D3,ON,150080SS75000
10,2,"D4, D5",RB751S40T1G,NRVB120VLSFT1G
11,1,F1,Fuse,0ZCG0030FF2C
12,1,J1,BATT,1751248
13,1,J2,USB_B_Micro,6.29E+11
17,1,MK1,Microphone,POM-3044P-R
18,1,Q1,2N7002,"T2N7002AK,LM"
19,2,"R1, R4",30,CRCW080530R0FKEAC
20,1,R2,36,ERJ-6ENF36R0V
21,1,R3,269,ESR10EZPJ271
22,1,R5,10k,ESR10EZPJ103
23,1,R6,1,RC0805FR-071R
24,2,"R7, R8",1k,ESR10EZPJ102
25,1,R9,2.2K,RCG08052K20JNEA
26,2,"R10, R18",1K,ESR10EZPJ102
27,4,"R11, R12, R14, R17",10K,ESR10EZPJ103
28,1,R13,100K,ERJ-6ENF1003V
29,1,R15,22K,CRGP0805F22K
30,2,"R16, R19",100,ESR10EZPJ101
31,1,R20,66.5k,ERJ-6ENF6652V
32,1,R21,66.5,CRCW080566R5FKEA
33,1,RV1,100K GAIN,3362P-1-104LF
35,1,U1,TLC2272,TLC2272CD
36,1,U2,MCP73831,MCP73831T-5ACI/OT
37,1,U3,AP2114,AP2114H-3.3TRG1
38,1,U4,MICS-4514,MICS-4514
40,1,U7,LM324,LM324DR
41,1,U8,ATSAMD21E18A-MU,ATSAMD21E15B-AUT
